Infinitive,сравня́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сравня́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сравня́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сравня́юсь
2nd Sing,сравня́ешься
3rd Sing,сравня́ется
1st Pl,сравня́емся
2nd Pl,сравня́етесь
3rd Pl,сравня́ются
Past M,сравня́лся
Past F,сравня́лась
Past N,сравня́лось
Past PL,сравня́лись
Imp S,сравня́йся
Imp PL,сравня́йтесь
