Infinitive,сре́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сре́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сре́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сре́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сре́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сре́жу
2nd Sing,сре́жешь
3rd Sing,сре́жет
1st Pl,сре́жем
2nd Pl,сре́жете
3rd Pl,сре́жут
Past M,сре́зал
Past F,сре́зала
Past N,сре́зало
Past PL,сре́зали
Imp S,сре́жь
Imp PL,сре́жьте
