Infinitive,сра́внивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сра́внивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сра́внивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сра́вниваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сра́внивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,сра́внивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,сра́внивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,сра́вниваю
2nd Sing,сра́вниваешь
3rd Sing,сра́внивает
1st Pl,сра́вниваем
2nd Pl,сра́вниваете
3rd Pl,сра́внивают
Past M,сра́внивал
Past F,сра́внивала
Past N,сра́внивало
Past PL,сра́внивали
Imp S,сра́внивай
Imp PL,сра́внивайте
