Infinitive,среаги́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,среаги́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,среаги́ровав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,среаги́ровавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,среаги́рую
2nd Sing,среаги́руешь
3rd Sing,среаги́рует
1st Pl,среаги́руем
2nd Pl,среаги́руете
3rd Pl,среаги́руют
Past M,среаги́ровал
Past F,среаги́ровала
Past N,среаги́ровало
Past PL,среаги́ровали
Imp S,среаги́руй
Imp PL,среаги́руйте
