Infinitive,сраста́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сраста́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сраста́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сраста́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сраста́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сраста́юсь
2nd Sing,сраста́ешься
3rd Sing,сраста́ется
1st Pl,сраста́емся
2nd Pl,сраста́етесь
3rd Pl,сраста́ются
Past M,сраста́лся
Past F,сраста́лась
Past N,сраста́лось
Past PL,сраста́лись
Imp S,сраста́йся
Imp PL,сраста́йтесь
