Infinitive,сруби́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сруби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сру́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сруби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сруби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,срублю́
2nd Sing,сру́бишь
3rd Sing,сру́бит
1st Pl,сру́бим
2nd Pl,сру́бите
3rd Pl,сру́бят
Past M,сруби́л
Past F,сруби́ла
Past N,сруби́ло
Past PL,сруби́ли
Imp S,сруби́
Imp PL,сруби́те
