Infinitive,срыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,срыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,срыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,срыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,срыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,срыва́юсь
2nd Sing,срыва́ешься
3rd Sing,срыва́ется
1st Pl,срыва́емся
2nd Pl,срыва́етесь
3rd Pl,срыва́ются
Past M,срыва́лся
Past F,срыва́лась
Past N,срыва́лось
Past PL,срыва́лись
Imp S,срыва́йся
Imp PL,срыва́йтесь
