Infinitive,срасти́сь
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сро́сшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сро́сшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,срасту́сь
2nd Sing,срастёшься
3rd Sing,срастётся
1st Pl,срастёмся
2nd Pl,срастётесь
3rd Pl,срасту́тся
Past M,сро́сся
Past F,сросла́сь
Past N,сросло́сь
Past PL,сросли́сь
Imp S,срасти́сьsrastísʹ
Imp PL,срасти́тесь
