Infinitive,срази́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,срази́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сражённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,срази́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,срази́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сражу́
2nd Sing,срази́шь
3rd Sing,срази́т
1st Pl,срази́м
2nd Pl,срази́те
3rd Pl,сразя́т
Past M,срази́л
Past F,срази́ла
Past N,срази́ло
Past PL,срази́ли
Imp S,срази́
Imp PL,срази́те
