Infinitive,сража́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сража́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сража́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сража́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сража́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сража́юсь
2nd Sing,сража́ешься
3rd Sing,сража́ется
1st Pl,сража́емся
2nd Pl,сража́етесь
3rd Pl,сража́ются
Past M,сража́лся
Past F,сража́лась
Past N,сража́лось
Past PL,сража́лись
Imp S,сража́йся
Imp PL,сража́йтесь
