Infinitive,сравни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сравни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сравнённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сравни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сравни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сравню́
2nd Sing,сравни́шь
3rd Sing,сравни́т
1st Pl,сравни́м
2nd Pl,сравни́те
3rd Pl,сравня́т
Past M,сравни́л
Past F,сравни́ла
Past N,сравни́ло
Past PL,сравни́ли
Imp S,сравни́
Imp PL,сравни́те
