Infinitive,срази́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,срази́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,срази́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сражу́сь
2nd Sing,срази́шься
3rd Sing,срази́тся
1st Pl,срази́мся
2nd Pl,срази́тесь
3rd Pl,сразя́тся
Past M,срази́лся
Past F,срази́лась
Past N,срази́лось
Past PL,срази́лись
Imp S,срази́сь
Imp PL,срази́тесь
