Infinitive,идеализи́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,идеализи́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,идеализи́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,идеализи́руемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,идеализи́рованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,идеализи́руя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,идеализи́ровав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,идеализи́ровавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,идеализи́рую
2nd Sing,идеализи́руешь
3rd Sing,идеализи́рует
1st Pl,идеализи́руем
2nd Pl,идеализи́руете
3rd Pl,идеализи́руют
Past M,идеализи́ровал
Past F,идеализи́ровала
Past N,идеализи́ровало
Past PL,идеализи́ровали
Imp S,идеализи́руй
Imp PL,идеализи́руйте
