Infinitive,шпа́рить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,шпа́рящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,шпа́ривший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шпа́римый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,шпа́ренный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,шпа́ря
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,шпа́рив
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,шпа́ривши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,шпа́рю
2nd Sing,шпа́ришь
3rd Sing,шпа́рит
1st Pl,шпа́рим
2nd Pl,шпа́рите
3rd Pl,шпа́рят
Past M,шпа́рил
Past F,шпа́рила
Past N,шпа́рило
Past PL,шпа́рили
Imp S,шпа́рь
Imp PL,шпа́рьте
