Infinitive,сформули́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сформули́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сформули́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сформули́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сформули́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сформули́рую
2nd Sing,сформули́руешь
3rd Sing,сформули́рует
1st Pl,сформули́руем
2nd Pl,сформули́руете
3rd Pl,сформули́руют
Past M,сформули́ровал
Past F,сформули́ровала
Past N,сформули́ровало
Past PL,сформули́ровали
Imp S,сформули́руй
Imp PL,сформули́руйте
