Infinitive,сформирова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сформирова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сформирова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сформиру́юсь
2nd Sing,сформиру́ешься
3rd Sing,сформиру́ется
1st Pl,сформиру́емся
2nd Pl,сформиру́етесь
3rd Pl,сформиру́ются
Past M,сформирова́лся
Past F,сформирова́лась
Past N,сформирова́лось
Past PL,сформирова́лись
Imp S,сформиру́йся
Imp PL,сформиру́йтесь
