Infinitive,сформирова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сформирова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сформиро́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сформирова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сформирова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сформиру́ю
2nd Sing,сформиру́ешь
3rd Sing,сформиру́ет
1st Pl,сформиру́ем
2nd Pl,сформиру́ете
3rd Pl,сформиру́ют
Past M,сформирова́л
Past F,сформирова́ла
Past N,сформирова́ло
Past PL,сформирова́ли
Imp S,сформиру́й
Imp PL,сформиру́йте
