Infinitive,о́йкнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,о́йкнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,о́йкнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,о́йкнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,о́йкну
2nd Sing,о́йкнешь
3rd Sing,о́йкнет
1st Pl,о́йкнем
2nd Pl,о́йкнете
3rd Pl,о́йкнут
Past M,о́йкнул
Past F,о́йкнула
Past N,о́йкнуло
Past PL,о́йкнули
Imp S,о́йкни
Imp PL,о́йкните
