Infinitive,пья́нствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пья́нствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пья́нствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пья́нствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пья́нствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пья́нствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пья́нствую
2nd Sing,пья́нствуешь
3rd Sing,пья́нствует
1st Pl,пья́нствуем
2nd Pl,пья́нствуете
3rd Pl,пья́нствуют
Past M,пья́нствовал
Past F,пья́нствовала
Past N,пья́нствовало
Past PL,пья́нствовали
Imp S,пья́нствуй
Imp PL,пья́нствуйте
