Infinitive,пьяне́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пьяне́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пьяне́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пьяне́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пьяне́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пьяне́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пьяне́ю
2nd Sing,пьяне́ешь
3rd Sing,пьяне́ет
1st Pl,пьяне́ем
2nd Pl,пьяне́ете
3rd Pl,пьяне́ют
Past M,пьяне́л
Past F,пьяне́ла
Past N,пьяне́ло
Past PL,пьяне́ли
Imp S,пьяне́й
Imp PL,пьяне́йте
