Infinitive,сцепи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сцепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сце́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сцепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сцепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сцеплю́
2nd Sing,сце́пишь
3rd Sing,сце́пит
1st Pl,сце́пим
2nd Pl,сце́пите
3rd Pl,сце́пят
Past M,сцепи́л
Past F,сцепи́ла
Past N,сцепи́ло
Past PL,сцепи́ли
Imp S,сцепи́
Imp PL,сцепи́те
