Infinitive,сцепи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сцепи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сцепи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сцеплю́сь
2nd Sing,сце́пишься
3rd Sing,сце́пится
1st Pl,сце́пимся
2nd Pl,сце́питесь
3rd Pl,сце́пятся
Past M,сцепи́лся
Past F,сцепи́лась
Past N,сцепи́лось
Past PL,сцепи́лись
Imp S,сцепи́сь
Imp PL,сцепи́тесь
