Infinitive,вжима́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вжима́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вжима́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вжима́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вжима́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вжима́юсь
2nd Sing,вжима́ешься
3rd Sing,вжима́ется
1st Pl,вжима́емся
2nd Pl,вжима́етесь
3rd Pl,вжима́ются
Past M,вжима́лся
Past F,вжима́лась
Past N,вжима́лось
Past PL,вжима́лись
Imp S,вжима́йся
Imp PL,вжима́йтесь
