Infinitive,вжа́ться
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вжа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вжа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вожму́сь
2nd Sing,вожмёшься
3rd Sing,вожмётся
1st Pl,вожмёмся
2nd Pl,вожмётесь
3rd Pl,вожму́тся
Past M,вжа́лся
Past F,вжа́лась
Past N,вжа́лось
Past PL,вжа́лись
Imp S,вожми́сь
Imp PL,вожми́тесь
