Infinitive,вжа́ть
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вжа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вжа́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вжа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вжа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вожму́
2nd Sing,вожмёшь
3rd Sing,вожмёт
1st Pl,вожмём
2nd Pl,вожмёте
3rd Pl,вожму́т
Past M,вжа́л
Past F,вжа́ла
Past N,вжа́ло
Past PL,вжа́ли
Imp S,вожми́
Imp PL,вожми́те
