Infinitive,сла́дить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сла́дивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сла́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сла́див
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сла́дивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сла́жу
2nd Sing,сла́дишь
3rd Sing,сла́дит
1st Pl,сла́дим
2nd Pl,сла́дите
3rd Pl,сла́дят
Past M,сла́дил
Past F,сла́дила
Past N,сла́дило
Past PL,сла́дили
Imp S,сла́дь
Imp PL,сла́дьте
