Infinitive,сли́ть
Zaliznyak Class,11*b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сли́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сли́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сли́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,солью́
2nd Sing,сольёшь
3rd Sing,сольёт
1st Pl,сольём
2nd Pl,сольёте
3rd Pl,солью́т
Past M,сли́л
Past F,слила́
Past N,сли́ло
Past PL,сли́ли
Imp S,сле́й
Imp PL,сле́йте
