Infinitive,случа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,случа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,случа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,случа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,случа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,случа́юсь
2nd Sing,случа́ешься
3rd Sing,случа́ется
1st Pl,случа́емся
2nd Pl,случа́етесь
3rd Pl,случа́ются
Past M,случа́лся
Past F,случа́лась
Past N,случа́лось
Past PL,случа́лись
Imp S,случа́йся
Imp PL,случа́йтесь
