Infinitive,слизну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,слизну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сли́знутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,слизну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,слизну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,слизну́
2nd Sing,слизнёшь
3rd Sing,слизнёт
1st Pl,слизнём
2nd Pl,слизнёте
3rd Pl,слизну́т
Past M,слизну́л
Past F,слизну́ла
Past N,слизну́ло
Past PL,слизну́ли
Imp S,слизни́
Imp PL,слизни́те
