Infinitive,сле́довать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сле́дующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сле́довавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сле́дуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сле́довав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сле́довавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сле́дую
2nd Sing,сле́дуешь
3rd Sing,сле́дует
1st Pl,сле́дуем
2nd Pl,сле́дуете
3rd Pl,сле́дуют
Past M,сле́довал
Past F,сле́довала
Past N,сле́довало
Past PL,сле́довали
Imp S,сле́дуй
Imp PL,сле́дуйте
