Infinitive,слете́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,слете́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,слете́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,слете́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,слечу́
2nd Sing,слети́шь
3rd Sing,слети́т
1st Pl,слети́м
2nd Pl,слети́те
3rd Pl,слетя́т
Past M,слете́л
Past F,слете́ла
Past N,слете́ло
Past PL,слете́ли
Imp S,слети́
Imp PL,слети́те
