Infinitive,сли́пнуться
Zaliznyak Class,3°a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сли́пшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сли́пшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сли́пнусь
2nd Sing,сли́пнешься
3rd Sing,сли́пнется
1st Pl,сли́пнемся
2nd Pl,сли́пнетесь
3rd Pl,сли́пнутся
Past M,сли́пся
Past F,сли́плась
Past N,сли́плось
Past PL,сли́плись
Imp S,сли́пнись
Imp PL,сли́пнитесь
