Infinitive,служи́ть
Zaliznyak Class,4c④
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,слу́жащий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,служи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,служа́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,служи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,служи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,служу́
2nd Sing,слу́жишь
3rd Sing,слу́жит
1st Pl,слу́жим
2nd Pl,слу́жите
3rd Pl,слу́жат
Past M,служи́л
Past F,служи́ла
Past N,служи́ло
Past PL,служи́ли
Imp S,служи́
Imp PL,служи́те
