Infinitive,слу́шаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,слу́шающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,слу́шавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,слу́шаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,слу́шавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,слу́шаюсь
2nd Sing,слу́шаешься
3rd Sing,слу́шается
1st Pl,слу́шаемся
2nd Pl,слу́шаетесь
3rd Pl,слу́шаются
Past M,слу́шался
Past F,слу́шалась
Past N,слу́шалось
Past PL,слу́шались
Imp S,слу́шайся
Imp PL,слу́шайтесь
