Infinitive,слома́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,слома́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,слома́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,слома́юсь
2nd Sing,слома́ешься
3rd Sing,слома́ется
1st Pl,слома́емся
2nd Pl,слома́етесь
3rd Pl,слома́ются
Past M,слома́лся
Past F,слома́лась
Past N,слома́лось
Past PL,слома́лись
Imp S,слома́йся
Imp PL,слома́йтесь
