Infinitive,сле́зть
Zaliznyak Class,7a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сле́зший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сле́зши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сле́зу
2nd Sing,сле́зешь
3rd Sing,сле́зет
1st Pl,сле́зем
2nd Pl,сле́зете
3rd Pl,сле́зут
Past M,сле́з
Past F,сле́зла
Past N,сле́зло
Past PL,сле́зли
Imp S,сле́зь
Imp PL,сле́зьте
