Infinitive,случи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,случи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,случи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,случу́сь
2nd Sing,случи́шься
3rd Sing,случи́тся
1st Pl,случи́мся
2nd Pl,случи́тесь
3rd Pl,случа́тся
Past M,случи́лся
Past F,случи́лась
Past N,случи́лось
Past PL,случи́лись
Imp S,случи́сь
Imp PL,случи́тесь
