Infinitive,сло́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сло́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сло́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сло́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сло́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сло́паю
2nd Sing,сло́паешь
3rd Sing,сло́пает
1st Pl,сло́паем
2nd Pl,сло́паете
3rd Pl,сло́пают
Past M,сло́пал
Past F,сло́пала
Past N,сло́пало
Past PL,сло́пали
Imp S,сло́пай
Imp PL,сло́пайте
