Infinitive,слоня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,слоня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,слоня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,слоня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,слоня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,слоня́юсь
2nd Sing,слоня́ешься
3rd Sing,слоня́ется
1st Pl,слоня́емся
2nd Pl,слоня́етесь
3rd Pl,слоня́ются
Past M,слоня́лся
Past F,слоня́лась
Past N,слоня́лось
Past PL,слоня́лись
Imp S,слоня́йся
Imp PL,слоня́йтесь
