Infinitive,сла́виться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сла́вящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сла́вившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сла́вясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сла́вившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сла́влюсь
2nd Sing,сла́вишься
3rd Sing,сла́вится
1st Pl,сла́вимся
2nd Pl,сла́витесь
3rd Pl,сла́вятся
Past M,сла́вился
Past F,сла́вилась
Past N,сла́вилось
Past PL,сла́вились
Imp S,сла́вься
Imp PL,сла́вьтесь
