Infinitive,слома́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,слома́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сло́манный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,слома́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,слома́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,слома́ю
2nd Sing,слома́ешь
3rd Sing,слома́ет
1st Pl,слома́ем
2nd Pl,слома́ете
3rd Pl,слома́ют
Past M,слома́л
Past F,слома́ла
Past N,слома́ло
Past PL,слома́ли
Imp S,слома́й
Imp PL,слома́йте
