Infinitive,слы́шаться
Zaliznyak Class,5a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,слы́шащийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,слы́шавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,слы́шась
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,слы́шавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,слы́шусь
2nd Sing,слы́шишься
3rd Sing,слы́шится
1st Pl,слы́шимся
2nd Pl,слы́шитесь
3rd Pl,слы́шатся
Past M,слы́шался
Past F,слы́шалась
Past N,слы́шалось
Past PL,слы́шались
Imp S,—
Imp PL,—
