Infinitive,сли́ться
Zaliznyak Class,11*b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сли́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сли́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,солью́сь
2nd Sing,сольёшься
3rd Sing,сольётся
1st Pl,сольёмся
2nd Pl,сольётесь
3rd Pl,солью́тся
Past M,сли́лся
Past F,слила́сь
Past N,слило́сь
Past PL,слили́сь
Imp S,сле́йся
Imp PL,сле́йтесь
