Infinitive,сла́зить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сла́зящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сла́зивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сла́зя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сла́зив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сла́зивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сла́жу
2nd Sing,сла́зишь
3rd Sing,сла́зит
1st Pl,сла́зим
2nd Pl,сла́зите
3rd Pl,сла́зят
Past M,сла́зил
Past F,сла́зила
Past N,сла́зило
Past PL,сла́зили
Imp S,сла́зь
Imp PL,сла́зьте
