Infinitive,слези́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,слезя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,слези́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,слезя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,слези́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,слежу́сь
2nd Sing,слези́шься
3rd Sing,слези́тся
1st Pl,слези́мся
2nd Pl,слези́тесь
3rd Pl,слезя́тся
Past M,слези́лся
Past F,слези́лась
Past N,слези́лось
Past PL,слези́лись
Imp S,слези́сь
Imp PL,слези́тесь
