Infinitive,слиня́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,слиня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,слиня́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,слиня́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,слиня́ю
2nd Sing,слиня́ешь
3rd Sing,слиня́ет
1st Pl,слиня́ем
2nd Pl,слиня́ете
3rd Pl,слиня́ют
Past M,слиня́л
Past F,слиня́ла
Past N,слиня́ло
Past PL,слиня́ли
Imp S,слиня́й
Imp PL,слиня́йте
