Infinitive,слипа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,слипа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,слипа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,слипа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,слипа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,слипа́юсь
2nd Sing,слипа́ешься
3rd Sing,слипа́ется
1st Pl,слипа́емся
2nd Pl,слипа́етесь
3rd Pl,слипа́ются
Past M,слипа́лся
Past F,слипа́лась
Past N,слипа́лось
Past PL,слипа́лись
Imp S,слипа́йся
Imp PL,слипа́йтесь
