Infinitive,слепи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,слепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сле́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,слепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,слепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,слеплю́
2nd Sing,сле́пишь
3rd Sing,сле́пит
1st Pl,сле́пим
2nd Pl,сле́пите
3rd Pl,сле́пят
Past M,слепи́л
Past F,слепи́ла
Past N,слепи́ло
Past PL,слепи́ли
Imp S,слепи́
Imp PL,слепи́те
