Infinitive,сложи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сложи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сложи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сложу́сь
2nd Sing,сло́жишься
3rd Sing,сло́жится
1st Pl,сло́жимся
2nd Pl,сло́житесь
3rd Pl,сло́жатся
Past M,сложи́лся
Past F,сложи́лась
Past N,сложи́лось
Past PL,сложи́лись
Imp S,сложи́сь
Imp PL,сложи́тесь
