Infinitive,слеза́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,слеза́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,слеза́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,слеза́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,слеза́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,слеза́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,слеза́ю
2nd Sing,слеза́ешь
3rd Sing,слеза́ет
1st Pl,слеза́ем
2nd Pl,слеза́ете
3rd Pl,слеза́ют
Past M,слеза́л
Past F,слеза́ла
Past N,слеза́ло
Past PL,слеза́ли
Imp S,слеза́й
Imp PL,слеза́йте
