Infinitive,сле́пнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сле́пнущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сле́пший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,сле́пнувший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,сле́пнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сле́пши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сле́пну
2nd Sing,сле́пнешь
3rd Sing,сле́пнет
1st Pl,сле́пнем
2nd Pl,сле́пнете
3rd Pl,сле́пнут
Past M,сле́п
Past F,сле́пла
Past N,сле́пло
Past PL,сле́пли
Imp S,сле́пни
Imp PL,сле́пните
