Infinitive,слабе́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,слабе́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,слабе́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,слабе́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,слабе́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,слабе́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,слабе́ю
2nd Sing,слабе́ешь
3rd Sing,слабе́ет
1st Pl,слабе́ем
2nd Pl,слабе́ете
3rd Pl,слабе́ют
Past M,слабе́л
Past F,слабе́ла
Past N,слабе́ло
Past PL,слабе́ли
Imp S,слабе́й
Imp PL,слабе́йте
