Infinitive,е́здить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,е́здящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,е́здивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,е́здя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,е́здив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,е́здивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,е́зжу
2nd Sing,е́здишь
3rd Sing,е́здит
1st Pl,е́здим
2nd Pl,е́здите
3rd Pl,е́здят
Past M,е́здил
Past F,е́здила
Past N,е́здило
Past PL,е́здили
Imp S,е́зди
Imp PL,е́здите
