Infinitive,фы́ркать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,фы́ркающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,фы́ркавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,фы́ркая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,фы́ркав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,фы́ркавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,фы́ркаю
2nd Sing,фы́ркаешь
3rd Sing,фы́ркает
1st Pl,фы́ркаем
2nd Pl,фы́ркаете
3rd Pl,фы́ркают
Past M,фы́ркал
Past F,фы́ркала
Past N,фы́ркало
Past PL,фы́ркали
Imp S,фы́ркай
Imp PL,фы́ркайте
