Infinitive,фы́ркнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,фы́ркнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,фы́ркнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,фы́ркнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,фы́ркну
2nd Sing,фы́ркнешь
3rd Sing,фы́ркнет
1st Pl,фы́ркнем
2nd Pl,фы́ркнете
3rd Pl,фы́ркнут
Past M,фы́ркнул
Past F,фы́ркнула
Past N,фы́ркнуло
Past PL,фы́ркнули
Imp S,фы́ркни
Imp PL,фы́ркните
