Infinitive,внедря́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,внедря́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,внедря́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,внедря́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,внедря́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,внедря́юсь
2nd Sing,внедря́ешься
3rd Sing,внедря́ется
1st Pl,внедря́емся
2nd Pl,внедря́етесь
3rd Pl,внедря́ются
Past M,внедря́лся
Past F,внедря́лась
Past N,внедря́лось
Past PL,внедря́лись
Imp S,внедря́йся
Imp PL,внедря́йтесь
