Infinitive,внуши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,внуши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,внушённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,внуши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,внуши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,внушу́
2nd Sing,внуши́шь
3rd Sing,внуши́т
1st Pl,внуши́м
2nd Pl,внуши́те
3rd Pl,внуша́т
Past M,внуши́л
Past F,внуши́ла
Past N,внуши́ло
Past PL,внуши́ли
Imp S,внуши́
Imp PL,внуши́те
