Infinitive,внедри́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,внедри́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,внедри́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,внедрю́сь
2nd Sing,внедри́шься
3rd Sing,внедри́тся
1st Pl,внедри́мся
2nd Pl,внедри́тесь
3rd Pl,внедря́тся
Past M,внедри́лся
Past F,внедри́лась
Past N,внедри́лось
Past PL,внедри́лись
Imp S,внедри́сь
Imp PL,внедри́тесь
