Infinitive,вни́кнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вни́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,вни́кнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вни́кнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вни́кши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вни́кну
2nd Sing,вни́кнешь
3rd Sing,вни́кнет
1st Pl,вни́кнем
2nd Pl,вни́кнете
3rd Pl,вни́кнут
Past M,вни́к
Past F,вни́кла
Past N,вни́кло
Past PL,вни́кли
Imp S,вни́кни
Imp PL,вни́кните
