Infinitive,кружи́ться
Zaliznyak Class,4c // 4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кружа́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кружи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кружа́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кружи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кружу́сь
2nd Sing,кру́жишься
3rd Sing,кру́жится
1st Pl,кру́жимся
2nd Pl,кру́житесь
3rd Pl,кру́жатся
Past M,кружи́лся
Past F,кружи́лась
Past N,кружи́лось
Past PL,кружи́лись
Imp S,кружи́сь
Imp PL,кружи́тесь
