Infinitive,крести́ть
Zaliznyak Class,4c⑦
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,крестя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,крести́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,крести́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,крещённый
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,крестя́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,крести́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,крести́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,крещу́
2nd Sing,кре́стишь
3rd Sing,кре́стит
1st Pl,кре́стим
2nd Pl,кре́стите
3rd Pl,кре́стят
Past M,крести́л
Past F,крести́ла
Past N,крести́ло
Past PL,крести́ли
Imp S,крести́
Imp PL,крести́те
