Infinitive,крени́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,креня́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,крени́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,креня́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,крени́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,креню́сь
2nd Sing,крени́шься
3rd Sing,крени́тся
1st Pl,крени́мся
2nd Pl,крени́тесь
3rd Pl,креня́тся
Past M,крени́лся
Past F,крени́лась
Past N,крени́лось
Past PL,крени́лись
Imp S,крени́сь
Imp PL,крени́тесь
