Infinitive,кряхте́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,кряхтя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кряхте́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кряхтя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кряхте́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,кряхте́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,кряхчу́
2nd Sing,кряхти́шь
3rd Sing,кряхти́т
1st Pl,кряхти́м
2nd Pl,кряхти́те
3rd Pl,кряхтя́т
Past M,кряхте́л
Past F,кряхте́ла
Past N,кряхте́ло
Past PL,кряхте́ли
Imp S,кряхти́
Imp PL,кряхти́те
