Infinitive,кры́ть
Zaliznyak Class,12a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,кро́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кры́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кро́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кры́тый
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,кро́я
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,кры́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,кры́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,кро́ю
2nd Sing,кро́ешь
3rd Sing,кро́ет
1st Pl,кро́ем
2nd Pl,кро́ете
3rd Pl,кро́ют
Past M,кры́л
Past F,кры́ла
Past N,кры́ло
Past PL,кры́ли
Imp S,кро́й
Imp PL,кро́йте
